Codigo,Descripcion,Marca,Rubro,Subrubro,Categoria,CostoSinIVA,VentaSinIVA,Stock,Unidad
EL2049,ESTANO EN BLISTER 60% 1.5MT X UNIDAD,Estano,Sin Clasificar,Sin Clasificar,Sin Clasificar,2070.36,2794.99,196,Unidad
FE2828,VARILLAS ROSCADAS-WHIT DE HIERRO 5/32 NATURAL,Varillas,Ferreteria General,Fijaciones,Fijaciones,556.84,751.73,163,Unidad
CO0656,PERFIL C NEGRO  L.C. 140-60-20    2.0        [ 6  MT ],Perfil,Siderurgia,Perfiles Siderurgia,Perfiles Siderurgia,32637.00,44059.95,162,Unidad
HE1062,MATIENZO 22-1218-A  PUNTA LANZA 3 PUNTAS CUA 9/16 60-110 FUNDICION,Matienzo,Ferreteria General,Herrajes,Herrajes,1771.23,2391.17,139,Unidad
PI0747,PINCEL PURA CERDA CHINA NEGRA  101  N-15 EL GALGO,Pincel,Pinturas,Accesorios De Pinturas,Accesorios De Pinturas,1446.37,1952.60,117,Unidad
FE3557,ABRAZADERA EL TALA-T/AMERICANA  90 X 105 3009,Abrazadera,Plomeria,Servicio-Ventilacion-Sujecion,Servicio-Ventilacion-Sujecion,1327.36,1791.93,100,Unidad
SA0325,IPS-ACC.POLIET.ESPIGA C/CODO R.HEMBRA 1/2 X 3/4   250029  70,Ips,Plomeria,Riego,Riego,147.84,199.58,100,Unidad
FE4917,NORTON-1628 A275 LIJA ANTIEMPASTANTE GRANO 240,Herramientas Manuales,Herramientas Manuales,Herramientas De Corte Y Desbaste,Herramientas De Corte Y Desbaste,602.82,813.81,93,Unidad
EL0477,CABLE TIPO TALLER 2X2.50 NEGRO,Cable,Instalaciones Elñctricas,Cables,Cables,1680.09,2268.12,92,Unidad
CO9392,"TEJIDO ROMBOIDAL ROLLO 180-63-14,5       10MT BAJA",Tejido,Siderurgia,Cercos,Cercos,27482.34,37101.15,84,Unidad
FE5951,MOSQUETON GALVANIZADO  9X 90,Mosqueton,Ferreteria General,Seguridad Industrial,Seguridad Industrial,2650.24,3577.83,82,Unidad
SA2460,ACC.620 BRONCE TRAF.P/GAS REDUCC.HM 1/2X3/8 P/VIR 6/2 (100),Plomeria,Plomeria,Distribucion De Gas,Distribucion De Gas,926.29,1250.49,78,Unidad
SA2324,TIGRE TF TERMOFUSION BUJE REDUCCION 40X25MM 22326724,Tigre,Plomeria,Distribucion De Agua,Distribucion De Agua,929.70,1255.09,75,Unidad
FE1309,ABRAZADERA DE ALAMBRE A-21 (47-55MM)   2    K4  50615,Abrazadera,Plomeria,Servicio-Ventilacion-Sujecion,Servicio-Ventilacion-Sujecion,71.14,96.04,75,Unidad
SA3392,ACQUA SYSTEM TERMOFUSION TUBO HEMBRA 40X1.1/4   08-271040032,Acqua,Plomeria,Distribucion De Agua,Distribucion De Agua,8152.61,11006.02,65,Unidad
SA2018,CAÑO PVC CLOACAL - TUBOPLAST DE 050 X 4 METROS,Caño,Plomeria,Desagues Y Accesorios Tuberia,Desagues Y Accesorios Tuberia,3960.18,5346.25,58,Unidad
CO9604,"BARBIERI CARTELA 200X200 X 1,29 PERFORADA",Barbieri,Construccion En Seco,Steel Frame,Steel Frame,1267.27,1710.81,56,Unidad
PI0465,DOBLE A-CINTA ENMASCARAR 18X50             645206,Doble,Pinturas,Accesorios De Pinturas,Accesorios De Pinturas,2895.06,3908.33,51,Unidad
SA3655,TIGRE TF TERMOFUSION CURVA SOBREPASAJE INY 32MM 22322320,Tigre,Plomeria,Distribucion De Agua,Distribucion De Agua,1009.89,1363.35,50,Unidad
SA9436,**BAJA** RAO - BOYA POLIE. AL DENSIDAD P/FLOTANTE DE  3/4 13000.660  (10),Plomeria,Plomeria,Tanques -Camaras Septicas,Tanques -Camaras Septicas,1931.40,2607.40,48,Unidad
HE0948,HERBRON-6030 CIERRE ARRIMAR CUBETA FRONT.DER PUL,Ferreteria General,Ferreteria General,Herrajes,Herrajes,2943.44,3973.65,48,Unidad
