Codigo,Descripcion,Marca,Rubro,Subrubro,Categoria,CostoSinIVA,VentaSinIVA,Stock,Unidad
CO0377,LADRILLO CERAMICO HUECO  18X18X33  6.20KG,Ladrillo,Albañileria,Ladrillos,Ladrillos,370.99,500.84,56700,Unidad
CO0373,LADRILLO CERAMICO HUECO  12X18X33  4.40KG,Ladrillo,Albañileria,Ladrillos,Ladrillos,316.05,426.67,39230,Unidad
CO1999,* 25 KG* LOMA NEGRA CEMENTO COMPUESTO   CPC40,Loma Negra,Albañileria,Morteros De Albañilerña,Morteros De Albañilerña,3868.65,5222.68,8687,Unidad
CO0728,"LADRILLO COMUN DE CHACRA - TRELEW  5 X 10 X 21,5 CM",Ladrillo,Albañileria,Ladrillos,Ladrillos,142.95,192.99,86621,Unidad
RV2276,LEVELER  NIVELADOR  PERNO DE SUJECION  X UNIDAD        (125UNX BOLSA),Leveler,Pisos Y Revestimientos,Redes Decorativas,Redes Decorativas,21.37,28.85,662,Unidad
CO0729,"LADRILLON COMUN DE CHACRA  5 X 14,5 X 24 CM",Ladrillon,Albañileria,Ladrillos,Ladrillos,207.60,280.26,35650,Unidad
FE1313,TORNILLO AUTOPER.HEX.T1 P.MECHA C/ARAN.14X2,Tornillo,Ferreteria General,Fijaciones,Fijaciones,108.32,146.24,8541,Unidad
CO0424,PREMOL PREMOLDEADO BLOQUE LISO DE HORMIGON 19X19X39 (14KG),Premol,Albañileria,Premoldeados,Premoldeados,972.58,1312.98,4679,Unidad
CO0693,"LADRILLO CERAMICO HUECO   8X18X33  3,50KG",Ladrillo,Albañileria,Ladrillos,Ladrillos,317.88,429.14,5457,Unidad
CO0185,HIERRO NERVADO CONSTRUCCION BARRA  6 MM [ 2.64KG],Hierro,Siderurgia,Hierros,Hierros,3067.07,4140.54,5362,Unidad
CO0620,CAL SARMIENTO X 25 KG,Cal,Albañileria,Morteros De Albañilerña,Morteros De Albañilerña,2946.44,3977.69,2974,Unidad
CO1263,ISOBLOCK EPS TIPO II 100X42   12CM,Isoblock,Aislacion,Poliestireno,Poliestireno,2593.31,3500.97,985,Unidad
FE1778,FISCHER-TACO FIJACION NYLON SA8 8MM CON TOPE  608238  (2000),Fischer,Ferreteria General,Fijaciones,Fijaciones,24.00,32.39,8076,Unidad
FE1955,TORNILLO MADERA PHILLIPS  8X2     - 4.5X 50,Ips,Ferreteria General,Fijaciones,Fijaciones,29.56,39.91,4761,Unidad
CO0186,HIERRO NERVADO CONSTRUCCION BARRA  8 MM [ 4.80KG],Hierro,Siderurgia,Hierros,Hierros,5418.07,7314.39,2425,Unidad
CO2020,ADOQUIN PCR GRIS  PS8   UNI STONE 8 CM,Adoquin,Albañileria,Premoldeados,Premoldeados,653.93,882.80,3500,Unidad
FE5283,FISCHER TACO NYLON SX P/LAD.HUECO DE  8 MM   608908   (2000),Fischer,Ferreteria General,Fijaciones,Fijaciones,40.47,54.64,952,Unidad
FE1334,TORNILLO AUTOPER.HEX.P17 T2 P.AGUJA P/TECHO TIR.MAD.14X2.1/2,Tornillo,Ferreteria General,Fijaciones,Fijaciones,97.01,130.97,1991,Unidad
CO0187,HIERRO NERVADO CONSTRUCCION BARRA 10 MM [ 7.40KG],Hierro,Siderurgia,Hierros,Hierros,8270.44,11165.09,2610,Unidad
CO1262,ISOBLOCK EPS TIPO I 100X42   10CM,Isoblock,Aislacion,Poliestireno,Poliestireno,2063.02,2785.08,1065,Unidad
RV2277,LEVELER  NIVELADOR   TUERCA DE NIVELACION  X  UNIDAD             (40UN X BOLSA),Leveler,Pisos Y Revestimientos,Redes Decorativas,Redes Decorativas,38.44,51.89,1711,Unidad
FE1954,TORNILLO MADERA PHILLIPS  8X1.3/4 - 4.5X 45,Ips,Ferreteria General,Fijaciones,Fijaciones,26.53,35.81,2094,Unidad
CO0128,LOMA NEGRA CEMENTO DE ALBANILERIA PLASTICOR X 25 KG,Loma Negra,Albañileria,Morteros De Albañilerña,Morteros De Albañilerña,3595.45,4853.86,1512,Unidad
FE1386,TORNILLO AUTOPER.HEX.T1 P.MECHA C/ARAN.14X2.1/2,Tornillo,Ferreteria General,Fijaciones,Fijaciones,106.88,144.29,3705,Unidad
FE1320,TORN.AUTOPERF.T3 CAB.FRES.C/ALA FRESAD. 8X1.1/4,Ferreteria General,Ferreteria General,Fijaciones,Fijaciones,16.55,22.34,10036,Unidad
FE9064,DAS DACH TACO PLASTICO P/CHAPA SINUS. BLANCA (1500),Das,Siderurgia,Chapas,Chapas,87.64,118.31,2080,Unidad
FE4071,FILM POLIET.200 MICR 4.00MT NEGRO      X ML [ 50],Film,Aislacion,Nylon,Nylon,935.00,1262.24,133,Unidad
CO0216,ALAMBRE RECOCIDO 30/45 NEGRO ACINDAR NR.17 [1.42],Acindar,Ferreteria General,Fijaciones,Fijaciones,2317.89,3129.15,1593,Unidad
CO2000,BLOQUE PCR GRIS B20   LISO PORTANTE      19X19X39,Bloque,Albañileria,Premoldeados,Premoldeados,1951.52,2634.56,192,Unidad
CO9281,"PREMOL ADOQUIN UNI STONE 8   22 X 11 X 8 CM DE ESPESOR. (4,5KG)",Premol,Pisos Y Revestimientos,Exterior-Patios -Veredas,Exterior-Patios -Veredas,568.99,768.13,4325,Unidad
CO9407,KG LASER CHAPA LAMINADA EN FRIO Nº 18,Siderurgia,Siderurgia,Chapas,Chapas,2275.15,3071.46,27067,Unidad
FE1311,TORNILLO AUTOPER.HEX.T1 P.MECHA C/ARAN.14X1,Tornillo,Ferreteria General,Fijaciones,Fijaciones,85.38,115.26,4848,Unidad
FE1965,TORNILLO MADERA PHILLIPS 10X1.3/4 - 5.0X 45,Ips,Ferreteria General,Fijaciones,Fijaciones,32.33,43.65,3794,Unidad
CO0671,MAPEI  MAPESET GRIS 25 KGS  ADHESIVO BASICO,Mapei,Pisos Y Revestimientos,Adhesivos Pisos Y Revestimientos,Adhesivos Pisos Y Revestimientos,5863.89,7916.26,909,Unidad
FE5282,FISCHER TACO NYLON SX P/LAD.HUECO DE  6 MM   608906   (4000),Fischer,Ferreteria General,Fijaciones,Fijaciones,23.02,31.07,2847,Unidad
CO2409,KNAUF PERFILERIA PARA TABIQUE MONTANTE 35 X 2600MM,Knauf,Construccion En Seco,Perfiles Construccion En Seco,Perfiles Construccion En Seco,2151.16,2904.06,265,Unidad
RE0303,CREGAR TEJUELA 20 TONALIZADA   N*181 230X114X20MM,Cregar,Albañileria,Refractarios,Refractarios,857.35,1157.43,380,Unidad
CO9467,PLEGADO LASER CHAPA LF Nº 18,Plegado,Siderurgia,Plegado,Plegado,649.97,877.46,9975511,Unidad
RE0309,CREGAR TEJUELA 15 TONALIZADA   N*185 220X114X15MM,Cregar,Albañileria,Refractarios,Refractarios,756.22,1020.90,1213,Unidad
EL0462,POLINAM-CANO AZUL MANGUERA P/LUZ 3/4 PESADA,Instalaciones Elñctricas,Instalaciones Elñctricas,"Cañerias, Cajas, Gabinetes","Cañerias, Cajas, Gabinetes",334.23,451.22,1686,Unidad
RV3120,"CAÑUELAS PISO 43X43  C=2,20 CORCEGA GRIS",Cañuelas,Pisos Y Revestimientos,Ceramicos,Ceramicos,4256.09,5745.71,800,Unidad
CO0188,HIERRO NERVADO CONSTRUCCION BARRA 12 MM [10.68KG]  *S*,Hierro,Siderurgia,Hierros,Hierros,11809.34,15942.60,786,Unidad
CO2406,KNAUF PERFILERIA PARA TABIQUE SOLERA 35 X 2600MM,Knauf,Construccion En Seco,Perfiles Construccion En Seco,Perfiles Construccion En Seco,1868.03,2521.83,919,Unidad
FE3221,TORNILLO DRYWALL 6 X 1.1/2 YESO/MAD 3.8 X 38   X UNIDAD,Tornillo,Ferreteria General,Fijaciones,Fijaciones,17.00,22.95,467,Unidad
CO2489,TORNILLO PUNTA AGUJA [T2] 6 X 25MM X 50UN FOSFATIZADO,Tornillo,Ferreteria General,Fijaciones,Fijaciones,354.02,477.93,1323,Unidad
CO9421,KG LASER CHAPA GALVANIZADA Nº 25,Siderurgia,Siderurgia,Chapas,Chapas,2496.43,3370.18,8014,Unidad
CO9481,PLEGADO LASER CHAPA GALV Nº 25,Plegado,Siderurgia,Plegado,Plegado,617.65,833.83,9989035,Unidad
FE1312,TORNILLO AUTOPER.HEX.T1 P.MECHA C/ARAN.14X1.1/2,Tornillo,Ferreteria General,Fijaciones,Fijaciones,118.40,159.84,1743,Unidad
FE1368,TORNILLO AUTOPER.HEX.T2 PUNTA MECHA 12 X 3/4,Tornillo,Ferreteria General,Fijaciones,Fijaciones,54.03,72.93,2325,Unidad
CO0603,CEMENTO SUELTO X 1 KG,Cemento,Albañileria,Morteros De Albañilerña,Morteros De Albañilerña,167.09,225.58,587,Unidad
CO0338,KLAUKOL  ADHESIVO IMPERMEABLE POTENCIADO  X 25 KG,Klaukol,Pisos Y Revestimientos,Adhesivos Pisos Y Revestimientos,Adhesivos Pisos Y Revestimientos,7451.90,10060.06,399,Unidad
CO2607,BOLSA 20 DM3 ARENA MEDIANA NATURAL,Bolsa,Albañileria,Aridos,Aridos,1695.67,2289.16,1098,Unidad
FE3220,TORNILLO DRYWALL 6 X 1.1/4 YESO/MAD 3.8 X 32   X UNIDAD,Tornillo,Ferreteria General,Fijaciones,Fijaciones,16.77,22.64,345,Unidad
FE5362,FISCHER TACO NYLON UX-8 C/A 8MM   6000194   (4500),Fischer,Ferreteria General,Fijaciones,Fijaciones,113.22,152.84,150,Unidad
FE1437,TORNILLO AUTOPER.HEX.T1 P.MECHA C/ARAN.14X3,Tornillo,Ferreteria General,Fijaciones,Fijaciones,152.34,205.66,917,Unidad
CO9700,HIERRO NERVADO TRELEW  CONST.  BARRA  6 MM [ 2.64KG,Hierro,Siderurgia,Hierros,Hierros,2799.79,3779.72,16,Unidad
FE3322,TORNILLO DRYWALL 8 X 2.1/4 YESO/MAD 4.5 X 57   X UNIDAD,Tornillo,Ferreteria General,Fijaciones,Fijaciones,42.66,57.59,528,Unidad
FE0065,REMACHE RAPIDO ALUMINIO (C-1000U)      4.0X14MM,Remache,Ferreteria General,Fijaciones,Fijaciones,20.73,27.98,486,Unidad
FE1953,TORNILLO MADERA PHILLIPS  8X1.1/2 - 4.5X 40,Ips,Ferreteria General,Fijaciones,Fijaciones,26.73,36.08,782,Unidad
CO2411,KNAUF PERFILERIA PARA TABIQUE MONTANTE 70 X 2600MM,Knauf,Construccion En Seco,Perfiles Construccion En Seco,Perfiles Construccion En Seco,2880.91,3889.22,501,Unidad
EL0205,TECNOCOM-CLV1925 CAÑO CORRUGADO LIVIANO PVC 3/4 X ML,Instalaciones Elñctricas,Instalaciones Elñctricas,"Cañerias, Cajas, Gabinetes","Cañerias, Cajas, Gabinetes",345.12,465.91,1065,Unidad
FE1324,TORN.AUTOPERF.T3 CAB.FRES.C/ALA FRESAD.10X1.1/2,Ferreteria General,Ferreteria General,Fijaciones,Fijaciones,23.52,31.76,2766,Unidad
FE1952,TORNILLO MADERA PHILLIPS  8X1.3/8 - 4.5X 35,Ips,Ferreteria General,Fijaciones,Fijaciones,23.08,31.16,5260,Unidad
FE1771,FISCHER-TACO FIJACION NYLON S FISCHER DE 8 MM  608008  (2000),Fischer,Ferreteria General,Fijaciones,Fijaciones,22.82,30.80,5180,Unidad
FE1325,TORNILLO AUTOPER.HEX.T2 P.AGUJA P/MAD.12X2.1/2,Tornillo,Ferreteria General,Fijaciones,Fijaciones,131.04,176.91,1221,Unidad
FE1323,TORN.AUTOPERF.T3 CAB.FRES.C/ALA FRESAD.10X2    96011020,Ferreteria General,Ferreteria General,Fijaciones,Fijaciones,30.22,40.80,1425,Unidad
FE1780,FISCHER-TACO FIJACION NYLON SA6 6MM CON TOPE  608236  (5000),Fischer,Ferreteria General,Fijaciones,Fijaciones,18.87,25.48,1275,Unidad
SA2615,SALADILLO GRADO 2 CAÑO POLIETILENO NEGRO 1/2 X 6 KG,Saladillo,Redes Sanitarias,Agua,Agua,441.44,595.94,121,Unidad
FE3219,TORNILLO DRYWALL 6 X 1  YESO/MAD 3.8 X 25   X UNIDAD,Tornillo,Ferreteria General,Fijaciones,Fijaciones,14.13,19.07,3380,Unidad
RV1985,"CAÑUELAS PISO 43X43  C=2,20 BARILOCHE GRIS",Cañuelas,Pisos Y Revestimientos,Ceramicos,Ceramicos,3716.20,5016.87,534,Unidad
CO1123,HORMIGON ELABORADO H21,Hormigon,Albañileria,Hormigon Elaborado,Hormigon Elaborado,79834.22,107776.20,1,Unidad
CO1676,"KARTONSEC RRS2050 RED MALLA SOSTEN 12,5 X12,5  2MT X ML",Kartonsec,Siderurgia,Mallas,Mallas,1211.18,1635.09,293,Unidad
FE2079,GANCHO P/TECHO T/BASTON 100MM C/ACC.D T.HEXA.1007,Gancho,Plomeria,Servicio-Ventilacion-Sujecion,Servicio-Ventilacion-Sujecion,164.71,222.36,384,Unidad
FE0565,ARANDELA PLANA GALVANIZADA 1/4  X UN     [ 450],Arandela,Ferreteria General,Fijaciones,Fijaciones,15.12,20.42,1799,Unidad
FE3320,TORNILLO DRYWALL 8 X 1.3/4 YESO/MAD 4.5 X 45   X UNIDAD,Tornillo,Ferreteria General,Fijaciones,Fijaciones,26.94,36.37,994,Unidad
CO0214,ALAMBRE RECOCIDO 30/60 NEGRO ACINDAR NR.14 [2.03],Acindar,Ferreteria General,Fijaciones,Fijaciones,2314.22,3124.20,729,Unidad
CO2400,KNAUF PLACA YESO STANDARD STD 1200X2400 9.5MM,Knauf,Construccion En Seco,Placas De Yeso,Placas De Yeso,7488.37,10109.30,963,Unidad
CO1029,HORMIGON ELABORADO H17,Hormigon,Albañileria,Hormigon Elaborado,Hormigon Elaborado,80979.59,109322.44,6,Unidad
CO9409,KG LASER CHAPA LAMINADA EN CALIENTE Nº 14,Siderurgia,Siderurgia,Chapas,Chapas,2190.59,2957.29,14610,Unidad
CO0995,"PREMOL PREMOLDEADO BLOQUE MITAD LISO DE HORMIGON 19X19X19 (7,5KG)",Premol,Albañileria,Premoldeados,Premoldeados,634.50,856.58,30,Unidad
CO1998,*BAJA* LOMA NEGRA CEMENTO COMPUESTO   CPC40 X 50 KG,Loma Negra,Albañileria,Morteros De Albañilerña,Morteros De Albañilerña,5880.74,7939.00,31,Unidad
CO0426,PREMOL PREMOLDEADO BLOQUE LISO DE HORMIGON 13X19X39 (11KG),Premol,Albañileria,Premoldeados,Premoldeados,872.11,1177.35,270,Unidad
FE0566,ARANDELA PLANA GALVANIZADA 5/16 X UN     [ 310],Arandela,Ferreteria General,Fijaciones,Fijaciones,17.59,23.74,1077,Unidad
CO2491,TORNILLO PUNTA MECHA [T1] 8 X 13MM X 50UN ZINCADO,Tornillo,Ferreteria General,Fijaciones,Fijaciones,557.16,752.16,823,Unidad
FE0731,TIRAFONDO GALVANIZADO 1/4  X 2        X UNIDAD,Tirafondo,Ferreteria General,Fijaciones,Fijaciones,40.74,55.00,882,Unidad
FE1369,TORNILLO AUTOPER.HEX.T2 P.AGUJA P/MAD.12X2,Tornillo,Ferreteria General,Fijaciones,Fijaciones,94.29,127.29,2040,Unidad
CO2591,KNAUF PERFILERIA PARA TABIQUE SOLERA 70 X 2600MM,Knauf,Construccion En Seco,Perfiles Construccion En Seco,Perfiles Construccion En Seco,2570.98,3470.83,624,Unidad
FE0615,TUERCA GALV.HEXAGONAL  1/4   G5 USS,Tuerca,Ferreteria General,Fijaciones,Fijaciones,12.97,17.51,9022,Unidad
CO9701,HIERRO NERVADO TRELEW  CONST.  BARRA 10 MM [ 7.40KG],Hierro,Siderurgia,Hierros,Hierros,8050.94,10868.77,154,Unidad
FE5382,TYROLIT-17-9002 DISCO PLANO REFORZADO 114X1.0X22.2 (25),Herramientas Electricas,Herramientas Electricas,Corte Herramientas Electricas,Corte Herramientas Electricas,1826.03,2465.14,240,Unidad
FE1964,TORNILLO MADERA PHILLIPS 10X1.1/2 - 5.0X 40,Ips,Ferreteria General,Fijaciones,Fijaciones,29.87,40.33,2847,Unidad
FE3223,TORNILLO DRYWALL 6 X 1.3/4 YESO/MAD 3.8 X 45   X UNIDAD,Tornillo,Ferreteria General,Fijaciones,Fijaciones,19.84,26.78,2091,Unidad
SA2065,TIGRE TF TERMOFUSION CODO A 90Ñ 25MM 22320823,Tigre,Plomeria,Distribucion De Agua,Distribucion De Agua,328.77,443.84,25,Unidad
CO9337,MAPEI  PLANITOP FINO  X 20 KGS   FINO A LA CAL INT/EXT,Mapei,Albañileria,Revoques Albañileria,Revoques Albañileria,6010.58,8114.28,643,Unidad
FE1940,TORNILLO MADERA PHILLIPS  6X1.1/2 - 4.0X 40,Ips,Ferreteria General,Fijaciones,Fijaciones,21.66,29.24,74,Unidad
RV1192,CAÑUELAS PISO 50X50  C=2.30  NAPOLES GRIS,Cañuelas,Pisos Y Revestimientos,Ceramicos,Ceramicos,4743.79,6404.12,257,Unidad
MA0512,BULINES -TIRA DE 1/2 X 1.1/2 X 8  2.44MT,Bulines,Maderas,Para Techos,Para Techos,289.15,390.36,2140,Unidad
CO9770,HIERRO NERVADO TRELEW CONST. BARRA  8 MM [ 4.80KG],Hierro,Siderurgia,Hierros,Hierros,5409.25,7302.49,49,Unidad
FE1319,TORN.AUTOPERF.CAB.FIJADORA PHILIPS 8 X 1.1/2,Ips,Ferreteria General,Fijaciones,Fijaciones,25.54,34.48,1746,Unidad
FE5383,TYROLIT-16-5662 DISCO PLANO REFORZADO 114X1.6X22.2 (25),Herramientas Electricas,Herramientas Electricas,Corte Herramientas Electricas,Corte Herramientas Electricas,1542.38,2082.21,254,Unidad
CO1157,MALLA STANDARD 2.40X6MT Q188 150X150 6.0MM 42.6KG,Malla,Siderurgia,Mallas,Mallas,54753.45,73917.15,516,Unidad
FE3319,TORNILLO DRYWALL 8 X 1.1/2 YESO/MAD 4.5 X 38   X UNIDAD,Tornillo,Ferreteria General,Seguridad Industrial,Seguridad Industrial,23.74,32.05,242,Unidad
SA2064,TIGRE TF TERMOFUSION CODO A 90Ñ 20MM 22320807,Tigre,Plomeria,Distribucion De Agua,Distribucion De Agua,196.96,265.90,284,Unidad
FE1942,TORNILLO MADERA PHILLIPS  6X2     - 4.0X 50,Ips,Ferreteria General,Fijaciones,Fijaciones,25.02,33.77,1317,Unidad
FE1270,CONARCO-ELECTRODO RUTILICO 13A PTA.AZUL 2.50MM KG,Herramientas Electricas,Herramientas Electricas,Union Y Pegado,Union Y Pegado,7260.75,9802.01,77,Unidad
RV1211,ALBERDI - PISO PORCELANATO RECT. DOMO GRIS  60X60  C=2.88,Alberdi,Pisos Y Revestimientos,Porcellanatos,Porcellanatos,7203.20,9724.32,1422,Unidad
FE1340,TORNILLO AUTOPER.HEX.T2 PUNTA MECHA 12 X 1,Tornillo,Ferreteria General,Fijaciones,Fijaciones,80.09,108.12,19106,Unidad
CO9408,KG LASER CHAPA LAMINADA EN FRIO Nº 16,Siderurgia,Siderurgia,Chapas,Chapas,2214.07,2988.99,5303,Unidad
CO9412,KG LASER CHAPA LAMINADA EN CALIENTE 1/8 LISA,Siderurgia,Siderurgia,Chapas,Chapas,2263.94,3056.32,12047,Unidad
CO0213,ALAMBRE RECOCIDO 30/60 NEGRO ACINDAR NR.08 [4.06],Acindar,Ferreteria General,Fijaciones,Fijaciones,2290.71,3092.46,302,Unidad
CO9469,PLEGADO LASER CHAPA LC Nº 14,Plegado,Siderurgia,Plegado,Plegado,649.19,876.41,9995179,Unidad
CO9427,KG LASER CHAPA PREPINTADA Nº 25,Siderurgia,Siderurgia,Chapas,Chapas,3897.95,5262.24,5222,Unidad
CO0475,KLAUKOL PORCELLANATO ADHESIVO IMPERMEABLE  X 25 KG,Klaukol,Pisos Y Revestimientos,Adhesivos Pisos Y Revestimientos,Adhesivos Pisos Y Revestimientos,12202.99,16474.04,3,Unidad
CO9487,PLEGADO LASER CHAPA PREP Nº 25,Plegado,Siderurgia,Plegado,Plegado,664.24,896.72,9994245,Unidad
RV2857,"CAÑUELAS PISO 50X50  C=2,30 BOLOGNA TIZA",Cañuelas,Pisos Y Revestimientos,Ceramicos,Ceramicos,5572.06,7522.29,126,Unidad
EL0495,CABLE FLEXIBLE UNIPOLAR IRAM 1X2.50 ROJO,Cable,Instalaciones Elñctricas,Cables,Cables,359.34,485.11,1219,Unidad
CO1093,TUBO ESTRUCTURAL CUADRADO  L.F.  1.60  20 X 20,Tubo,Siderurgia,Tubo Laminado,Tubo Laminado,7836.88,10579.79,33,Unidad
EL0125,CONECTOR ZINCADO CON TORNILLO   3/4,Conector,Instalaciones Elñctricas,"Cañerias, Cajas, Gabinetes","Cañerias, Cajas, Gabinetes",133.34,180.01,603,Unidad
CO0691,CAL SANTA BARBARA X 25KG,Cal,Albañileria,Morteros De Albañilerña,Morteros De Albañilerña,4444.60,6000.21,996,Unidad
FE0564,ARANDELA PLANA GALVANIZADA 3/16 X UN     [1200],Arandela,Ferreteria General,Fijaciones,Fijaciones,7.67,10.35,2797,Unidad
FE1770,FISCHER-TACO FIJACION NYLON S FISCHER DE 6 MM  608006  (4000),Fischer,Ferreteria General,Fijaciones,Fijaciones,15.14,20.44,2989,Unidad
FE5284,FISCHER TACO NYLON SX P/LAD.HUECO DE 10 MM   608910   (1000),Fischer,Ferreteria General,Fijaciones,Fijaciones,58.97,79.61,295,Unidad
EL0043,CAJA MET.EMBUTIR CHAPA 20 LIVIANA RECTANGULAR,Caja,Instalaciones Elñctricas,"Cañerias, Cajas, Gabinetes","Cañerias, Cajas, Gabinetes",229.60,309.96,532,Unidad
FE0616,TUERCA GALV.HEXAGONAL  5/16  G5 USS,Tuerca,Ferreteria General,Fijaciones,Fijaciones,17.99,24.29,11876,Unidad
FE1328,TORNILLO AUTOPER.HEX.T2 P.MECHA P/MAD.14X2.1/2,Tornillo,Ferreteria General,Fijaciones,Fijaciones,107.43,145.03,6200,Unidad
RV1199,CAÑUELAS PISO CERAMICO 43X43 VENECIA BEIGE C=2.20,Cañuelas,Pisos Y Revestimientos,Ceramicos,Ceramicos,3029.26,4089.49,976,Unidad
FE3324,TORNILLO DRYWALL 8 X 3   YESO/MAD 4.5 X 75   X UNIDAD,Tornillo,Ferreteria General,Fijaciones,Fijaciones,67.28,90.83,6249,Unidad
CO1774,KNAUF PERFIL OMEGA 13/32/69 69 X 2600MM,Knauf,Construccion En Seco,Perfiles Construccion En Seco,Perfiles Construccion En Seco,2785.24,3760.08,132,Unidad
CO1074,TUBO ESTRUCTURAL CUADRADO  L.F.  1.60  30 X 30,Tubo,Siderurgia,Tubo Laminado,Tubo Laminado,11989.63,16185.99,198,Unidad
MA1619,CLAVADORES PINO RESINOSO 2 X 2 X 12 [3.66MT],Clavadores,Maderas,Para Techos,Para Techos,2518.82,3400.41,151,Unidad
FE0071,REMACHE RAPIDO ALUMINIO (C-500U)       4.8X14MM,Remache,Ferreteria General,Fijaciones,Fijaciones,35.82,48.36,1380,Unidad
CO0733,KLAUKOL RAPIBRICK X 25 KGS CON MANGA APLICADORA,Klaukol,Albañileria,Morteros De Albañilerña,Morteros De Albañilerña,12137.23,16385.27,87,Unidad
FE2280,TORN.AUTOPERF.T3 CAB.FRES.C/ALA FRESAD.12X2.1/2,Ferreteria General,Ferreteria General,Fijaciones,Fijaciones,89.73,121.13,5375,Unidad
SA4059,SALADILLO GRADO 2 CAÑO POLIETILENO NEGRO 1/2 X 10 KG,Saladillo,Redes Sanitarias,Agua,Agua,751.84,1014.98,103,Unidad
CO2402,KNAUF PLACA YESO STANDARD STD 1200X2400 12.5MM,Knauf,Construccion En Seco,Placas De Yeso,Placas De Yeso,8084.81,10914.50,244,Unidad
CO9468,PLEGADO LASER CHAPA LF Nº 16,Plegado,Siderurgia,Plegado,Plegado,644.96,870.69,9992724,Unidad
FE0060,REMACHE RAPIDO ALUMINIO (C-1000U)      3.5X16MM,Remache,Ferreteria General,Fijaciones,Fijaciones,15.87,21.42,1245,Unidad
RV3165,"LOURDES - PISO MADERA PINO CLARO  56X56   C=2,17",Lourdes,Pisos Y Revestimientos,Ceramicos,Ceramicos,5161.59,6968.14,45,Unidad
SA0362,TIGRE TF TERMOFUSION TUBO PN 20 25MM X 4MT 17010034,Tigre,Plomeria,Distribucion De Agua,Distribucion De Agua,4638.78,6262.35,301,Unidad
RV3460,"CAÑUELAS PISO 43X43  C=2,20  MADERA CALABRIA BEIGE",Cañuelas,Pisos Y Revestimientos,Ceramicos,Ceramicos,4678.69,6316.23,187,Unidad
RV1189,"CAÑUELAS REVE 32X47  C=2,30 GIJON",Cañuelas,Pisos Y Revestimientos,Ceramicos,Ceramicos,5077.69,6854.88,18,Unidad
CO9308,HORMIGON ELABORADO H25,Hormigon,Albañileria,Hormigon Elaborado,Hormigon Elaborado,83619.04,112885.70,5,Unidad
FE1941,TORNILLO MADERA PHILLIPS  6X1.3/4 - 4.0X 45,Ips,Ferreteria General,Fijaciones,Fijaciones,23.73,32.03,859,Unidad
FE1966,TORNILLO MADERA PHILLIPS 10X2     - 5.0X 50,Ips,Ferreteria General,Fijaciones,Fijaciones,37.05,50.02,674,Unidad
CO1724,KNAUF PERFIL CANTONERA METALICA 32 X 2600MM,Knauf,Construccion En Seco,Perfiles Construccion En Seco,Perfiles Construccion En Seco,1712.90,2312.42,318,Unidad
FE3236,TORNILLO DRYWALL 6 X 2   YESO/MAD 3.8 X 50  X UNIDAD,Tornillo,Ferreteria General,Fijaciones,Fijaciones,21.90,29.57,675,Unidad
CO9275,HIERRO NERVADO CONSTRUCCION BARRA 4.0MM [ 1.05 KG],Hierro,Siderurgia,Hierros,Hierros,2156.30,2911.00,38,Unidad
EL0493,CABLE FLEXIBLE UNIPOLAR IRAM 1X2.50 MARRON,Cable,Instalaciones Elñctricas,Cables,Cables,339.04,457.70,683,Unidad
CO0215,ALAMBRE RECOCIDO 30/45 NEGRO ACINDAR NR.16 [1.63],Acindar,Ferreteria General,Fijaciones,Fijaciones,2294.09,3097.02,1462,Unidad
FE1951,TORNILLO MADERA PHILLIPS  8X1.1/4 - 4.5X 30,Ips,Ferreteria General,Fijaciones,Fijaciones,19.56,26.41,1372,Unidad
RE0301,CREGAR TEJUELA 30 TONALIZADA   N*192 229X114X30MM,Cregar,Albañileria,Refractarios,Refractarios,1159.95,1565.93,828,Unidad
FE0567,ARANDELA PLANA GALVANIZADA 3/8  X UN     [ 200],Arandela,Ferreteria General,Fijaciones,Fijaciones,22.08,29.81,3138,Unidad
FE1772,FISCHER-TACO FIJACION NYLON S FISCHER DE 10MM  608010  (1000),Fischer,Ferreteria General,Fijaciones,Fijaciones,47.19,63.71,1343,Unidad
EL0492,CABLE FLEXIBLE UNIPOLAR IRAM 1X2.50 CELESTE,Cable,Instalaciones Elñctricas,Cables,Cables,348.30,470.20,1383,Unidad
FE3323,TORNILLO DRYWALL 8 X 2.1/2 YESO/MAD 4.5 X 65   X UNIDAD,Tornillo,Ferreteria General,Fijaciones,Fijaciones,46.12,62.26,47,Unidad
CO9413,KG LASER CHAPA LAMINADA EN CALIENTE 1/8 ANTID,Siderurgia,Siderurgia,Chapas,Chapas,2479.54,3347.38,2970,Unidad
CO1061,TUBO ESTRUCTURAL CUADRADO  L.F.  1.25  20 X 20,Tubo,Siderurgia,Tubo Laminado,Tubo Laminado,6398.82,8638.41,362,Unidad
CO9402,ACINDAR ARMALOGIC  ESTRIBOS   ADN 6MM  15*15,Acindar,Siderurgia,Hierros,Hierros,500.56,675.76,914,Unidad
CO0668,MAPEI  ADESILEX P9  25 KGS  ADHESIVO PORC.+PSPISO,Mapei,Pisos Y Revestimientos,Adhesivos Pisos Y Revestimientos,Adhesivos Pisos Y Revestimientos,12577.68,16979.87,205,Unidad
RV3202,"CAÑUELAS PISO 43X43 C=2,20 TERME CEMENTO",Cañuelas,Pisos Y Revestimientos,Ceramicos,Ceramicos,4782.17,6455.93,134,Unidad
